RespondentID,Seen_any_SW,SW_fan,Episode_1_seen,Episode_2_seen,Episode_3_seen,Episode_4_seen,Episode_5_seen,Episode_6_seen,Episode_1_rank,Episode_2_rank,Episode_3_rank,Episode_4_rank,Episode_5_rank,Episode_6_rank,han_solo,luke_skywalker,princess_leia_organa,anakin_skywalker,obi_wan_kenobi,emperor_palpatine,darth_vader,lando_calrissian,boba_fett,c-3p0,r2_d2,jar_jar_binks,padme_amidala,yoda,1st_shot,familiar_exp_universe,fan_exp_universe,fan_star_trek,gender,income,location,NaN,18-29,30-44,45-60,> 60,Response,edu_NaN,edu_less_HS,edu_HS,edu_Some_collage/AD,edu_BD,edu_GD
3292562297.0,1,1,1,1,1,1,1,1,6,5,1,4,3,2,5,4,5,5,4,3,5,2,5,4,5,3,5,5,Greedo,0,,1,Male,5,West North Central,0,1,0,0,0,0,0,0,0,1,0,0
3292522349.0,1,1,1,1,1,1,1,1,6,5,4,1,2,3,5,5,4,4,5,1,4,1,5,4,4,2,1,5,Han,0,,0,Male,0,Pacific,0,1,0,0,0,0,0,0,0,1,0,0
3292521066.0,1,0,1,1,1,1,1,0,3,4,5,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,I don't understand this question,0,,0,Male,0,Pacific,0,1,0,0,0,0,0,0,0,0,1,0
3292511801.0,1,1,1,1,1,1,1,1,6,5,4,3,1,2,5,5,5,1,5,2,4,4,3,5,5,2,1,5,Greedo,1,1,1,Male,5,South Atlantic,0,1,0,0,0,0,0,0,0,0,1,0
3292483200.0,1,1,1,1,1,1,1,1,6,1,4,2,3,5,5,4,4,3,4,4,5,1,1,4,5,4,1,5,Han,0,,0,Male,2,Pacific,0,1,0,0,0,0,0,0,0,0,1,0
3292465491.0,1,1,1,1,1,1,1,1,1,2,6,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Han,0,,0,Male,0,East North Central,0,1,0,0,0,1,0,0,0,0,0,0
3292420123.0,1,1,1,1,1,1,1,1,4,6,5,2,3,1,5,4,4,4,5,4,4,4,5,5,5,2,4,5,Greedo,1,0,0,Male,3,South Atlantic,0,1,0,0,0,0,0,0,0,1,0,0
3292384040.0,1,1,1,1,1,1,1,1,6,5,4,2,3,1,5,5,5,4,5,2,2,4,3,5,5,5,5,5,Greedo,0,,0,Male,0,Middle Atlantic,0,1,0,0,0,0,0,0,0,1,0,0
3292380493.0,1,1,1,1,1,1,1,1,6,5,4,2,1,3,5,4,1,2,2,2,5,5,4,2,3,2,2,5,Han,1,0,0,Male,0,Middle Atlantic,0,1,0,0,0,0,0,0,0,1,0,0
3292376985.0,1,1,1,1,1,1,1,1,4,6,5,2,1,3,5,5,5,2,5,5,5,5,5,5,5,6,2,5,Han,1,1,1,Male,6,East North Central,0,1,0,0,0,0,0,0,0,1,0,0
3292366792.0,1,0,1,1,1,1,1,1,4,3,5,6,2,1,1,1,1,1,4,6,4,4,4,4,4,3,6,4,I don't understand this question,0,,0,Male,2,New England,0,0,1,0,0,0,0,0,1,0,0,0
3292339379.0,1,1,1,1,1,1,1,1,6,5,4,2,1,3,5,5,5,5,5,5,5,5,5,5,5,2,5,5,Han,1,1,1,Male,5,West North Central,0,0,1,0,0,0,0,0,0,1,0,0
3292330840.0,1,0,1,1,1,1,1,1,6,1,2,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Han,0,,0,Male,0,Middle Atlantic,0,1,0,0,0,1,0,0,0,0,0,0
3292318652.0,1,0,0,1,1,0,0,0,6,1,2,3,4,5,,,,,,,,,,,,,,,Han,0,,0,Male,5,Mountain,0,1,0,0,0,0,0,0,1,0,0,0
3292290677.0,1,1,1,1,1,1,1,1,6,3,4,1,2,5,5,5,5,5,5,4,4,1,5,5,5,2,5,5,Han,0,,0,Male,6,East North Central,0,0,1,0,0,0,0,0,0,0,0,1
3292281095.0,1,1,1,1,1,1,1,1,3,2,1,4,6,5,4,1,1,5,4,1,4,1,1,1,1,1,1,1,Greedo,0,,0,Male,2,West North Central,0,1,0,0,0,0,0,0,0,0,1,0
3292279889.0,1,1,1,1,1,1,1,1,2,4,5,1,6,3,5,4,5,4,5,3,2,1,3,1,4,1,4,4,Han,0,,0,Male,0,Pacific,0,1,0,0,0,0,0,0,0,1,0,0
3292264069.0,1,1,1,1,1,1,1,1,6,3,5,1,4,2,4,4,4,4,4,4,4,4,4,4,4,1,4,4,Han,1,0,1,Male,5,Middle Atlantic,0,0,1,0,0,0,0,0,0,0,1,0
3292257520.0,1,1,1,1,1,1,1,1,4,5,6,3,2,1,5,5,5,4,5,3,5,4,5,5,5,1,5,5,Greedo,1,1,1,Male,2,West North Central,0,0,1,0,0,0,0,0,1,0,0,0
3292249492.0,1,1,1,1,1,1,1,1,5,6,2,3,4,1,5,5,5,1,5,4,5,5,1,5,5,2,1,5,Han,0,,1,Male,3,Middle Atlantic,0,0,1,0,0,0,0,0,0,0,0,1
3292222729.0,1,1,1,1,1,1,1,1,6,5,4,2,1,3,5,5,5,4,5,4,5,5,5,4,4,4,4,5,Han,1,1,0,Male,3,Pacific,0,0,1,0,0,0,0,0,0,0,0,1
3292221635.0,1,1,1,1,1,1,1,1,5,6,4,2,1,3,5,5,5,4,5,4,4,4,5,3,4,2,4,1,Greedo,1,1,0,Male,4,West North Central,0,1,0,0,0,0,0,0,0,0,1,0
3292218251.0,1,1,1,1,1,1,1,1,6,5,4,2,1,3,5,5,5,4,5,4,5,4,4,5,5,2,5,5,Han,1,1,1,Male,6,Pacific,0,1,0,0,0,0,0,0,0,0,1,0
3292214307.0,1,1,1,1,1,1,1,1,5,6,4,3,2,1,5,5,5,4,4,4,4,4,4,4,4,1,3,4,Han,1,0,0,Male,4,New England,0,1,0,0,0,0,0,0,1,0,0,0
3292210606.0,1,1,1,1,1,1,1,1,6,5,4,2,1,3,5,5,5,4,5,4,5,5,5,5,5,2,5,5,Han,0,,0,Male,0,West North Central,0,1,0,0,0,0,0,0,0,1,0,0
3292189580.0,1,1,1,1,1,1,1,1,5,4,6,3,1,2,5,5,5,3,5,2,2,3,2,5,5,5,5,5,Han,1,1,1,Male,5,West North Central,0,0,1,0,0,0,0,0,0,1,0,0
3292187343.0,1,0,1,1,1,1,1,1,6,5,4,1,2,3,5,5,5,1,4,6,3,6,3,4,4,2,1,5,Greedo,0,,0,Male,5,Pacific,0,1,0,0,0,0,0,0,0,1,0,0
3292178389.0,1,1,1,0,0,1,1,1,4,6,5,3,1,2,5,4,5,4,5,4,5,1,5,1,5,2,4,5,Greedo,0,,1,Male,5,Mountain,0,1,0,0,0,0,0,0,0,0,1,0
3292176862.0,1,1,1,1,1,1,1,1,6,4,5,3,1,2,1,4,4,4,5,5,4,3,4,5,5,1,4,5,Han,1,0,0,Male,0,South Atlantic,0,1,0,0,0,0,0,0,1,0,0,0
3292173922.0,1,1,1,1,1,1,1,1,4,5,1,6,2,3,5,5,5,5,5,4,5,5,4,4,5,4,4,5,I don't understand this question,0,,1,Male,5,West South Central,0,0,1,0,0,0,0,0,0,1,0,0
3292167131.0,1,1,1,1,1,1,1,1,5,6,4,2,1,3,5,5,5,4,4,4,4,4,4,4,4,3,2,4,Han,1,0,0,Male,4,New England,0,1,0,0,0,0,0,0,1,0,0,0
3292162057.0,1,1,1,1,1,1,1,1,6,5,4,2,1,3,5,4,4,4,5,4,5,4,5,1,4,6,1,4,Greedo,0,,0,Male,3,Mountain,0,1,0,0,0,0,0,0,0,1,0,0
3292156614.0,1,1,1,1,1,1,1,1,4,6,5,2,1,3,5,5,5,4,5,5,5,5,5,5,5,2,4,5,Han,0,,0,Male,6,West South Central,0,1,0,0,0,0,0,0,0,0,1,0
3292148570.0,1,1,1,1,1,1,1,1,6,4,5,3,1,2,5,4,4,1,1,1,4,1,4,5,4,2,3,4,Han,0,,1,Male,5,West North Central,0,1,0,0,0,0,0,0,0,0,0,1
3292144665.0,1,1,1,1,1,1,1,1,6,4,5,3,1,2,5,5,5,2,5,4,5,5,5,5,5,2,5,5,Han,1,1,0,Male,2,New England,0,1,0,0,0,0,0,0,1,0,0,0
3292143503.0,1,0,1,1,0,1,1,1,5,4,6,1,3,2,4,4,4,4,5,6,2,6,5,3,5,2,4,4,I don't understand this question,0,,0,Male,5,Pacific,0,1,0,0,0,0,0,0,0,0,1,0
3292131636.0,1,1,1,1,1,1,1,1,5,6,2,3,1,4,5,5,5,3,4,1,5,3,5,2,4,6,1,1,Greedo,1,0,0,Male,6,Pacific,0,1,0,0,0,0,0,0,0,0,1,0
3292125068.0,1,1,0,0,0,1,0,0,1,2,3,4,5,6,,3,4,,3,,,,,,,,,,Greedo,0,,1,Male,3,Pacific,0,0,1,0,0,0,0,0,0,0,0,1
3292120160.0,1,1,1,1,1,1,1,1,4,5,6,2,1,3,5,5,5,4,5,4,5,5,5,4,5,1,1,5,Han,1,1,0,Male,3,New England,0,1,0,0,0,0,0,0,0,1,0,0
3292103680.0,1,1,1,1,1,1,1,1,6,5,4,2,1,3,5,5,5,3,5,2,3,3,3,5,5,2,4,5,Greedo,0,,0,Male,5,Pacific,0,0,1,0,0,0,0,0,0,1,0,0
3292050153.0,1,0,1,1,1,1,1,1,1,2,3,4,5,6,4,4,4,4,5,6,5,1,1,1,4,1,1,4,I don't understand this question,0,,0,Male,2,Pacific,0,1,0,0,0,0,0,0,0,1,0,0
3292041365.0,1,1,1,1,1,1,1,1,6,5,4,2,1,3,4,1,4,1,4,3,5,4,5,4,5,3,4,5,Han,1,1,1,Male,6,East South Central,0,1,0,0,0,0,0,0,0,1,0,0
3292033243.0,1,1,1,1,1,1,1,1,6,1,5,3,4,2,5,5,5,4,5,5,5,5,5,5,5,3,4,5,Greedo,1,1,0,Male,5,South Atlantic,0,1,0,0,0,0,0,0,0,1,0,0
3292031637.0,1,0,1,1,1,1,1,1,6,5,2,4,3,1,5,5,5,4,5,6,5,6,4,4,4,2,6,4,I don't understand this question,0,,0,Male,4,East South Central,0,1,0,0,0,0,0,0,0,0,0,1
3292008762.0,1,1,1,1,1,1,1,1,5,6,4,2,1,3,5,4,4,2,5,5,5,5,4,1,1,2,3,4,Han,1,1,1,Male,4,East South Central,0,1,0,0,0,0,0,0,0,1,0,0
3291992352.0,1,1,1,1,1,1,1,1,4,5,3,6,2,1,5,5,5,3,,4,5,5,1,5,2,,5,5,Greedo,0,,1,Male,3,West North Central,0,0,1,0,0,0,0,0,0,0,0,1
3291945498.0,1,1,1,1,1,1,1,1,6,4,5,2,1,3,5,4,5,3,5,1,4,4,4,5,5,6,3,4,Han,0,,1,Male,5,West North Central,0,0,1,0,0,0,0,0,0,0,0,1
3291940517.0,1,1,1,1,1,1,1,1,6,5,4,3,2,1,5,4,4,4,4,4,4,1,4,4,5,2,4,5,Han,0,,1,Male,3,West North Central,0,1,0,0,0,0,0,0,0,0,1,0
3291871486.0,1,1,1,1,1,1,1,1,5,6,2,4,1,3,5,5,5,4,5,5,5,5,5,5,5,2,5,5,Greedo,1,0,1,Male,3,South Atlantic,0,1,0,0,0,0,0,0,0,0,0,1
3291778150.0,1,1,1,1,1,1,1,1,4,5,6,1,2,3,5,5,5,5,5,5,5,1,5,5,5,5,5,5,Greedo,0,,1,Male,4,Middle Atlantic,0,1,0,0,0,0,0,0,0,0,1,0
3291766314.0,1,0,1,1,1,1,1,1,4,5,6,2,3,1,5,4,5,1,4,1,1,1,3,5,5,5,4,5,I don't understand this question,0,,0,Male,5,Pacific,0,0,1,0,0,0,0,0,1,0,0,0
3291762799.0,1,1,1,1,1,1,1,1,3,4,5,6,1,2,5,5,5,5,5,1,4,1,3,5,5,3,3,5,Greedo,0,,1,Male,5,East North Central,0,0,1,0,0,0,0,0,0,1,0,0
3291707153.0,1,0,0,0,0,0,1,1,3,4,5,6,1,2,4,5,5,4,4,1,3,1,3,4,4,4,1,5,Greedo,0,,0,Male,5,West South Central,0,0,1,0,0,0,0,0,0,0,1,0
3291701619.0,1,1,1,1,1,1,1,1,6,5,2,3,4,1,5,5,4,4,4,3,1,5,5,4,4,2,1,5,Greedo,0,,1,Male,0,New England,0,1,0,0,0,0,0,0,0,0,1,0
3291696391.0,1,1,1,1,0,1,1,1,5,4,6,1,2,3,5,5,5,4,5,1,5,4,5,4,5,2,1,4,Han,1,0,0,Male,3,West North Central,0,0,1,0,0,0,0,0,0,0,1,0
3291684768.0,1,1,1,1,1,1,1,1,6,5,4,1,2,3,5,5,5,3,5,1,2,4,2,4,4,2,5,5,Han,0,,0,Male,3,East North Central,0,0,1,0,0,0,0,0,0,0,0,1
3291669388.0,1,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0,0,0
3291661584.0,1,0,0,0,0,0,1,1,6,5,4,3,2,1,4,4,4,1,4,1,4,6,1,4,4,6,6,4,I don't understand this question,0,,0,Male,5,South Atlantic,0,0,0,0,1,0,0,0,0,1,0,0
3291658046.0,1,1,1,1,1,1,1,1,6,4,5,1,2,3,4,4,1,4,5,1,4,1,1,5,5,5,1,5,Greedo,0,,1,Male,0,South Atlantic,0,0,1,0,0,0,0,0,0,0,0,1
3291654919.0,1,1,1,1,1,1,1,1,6,5,4,2,3,1,5,5,5,4,5,2,2,5,2,5,5,2,5,5,Greedo,0,,1,Male,5,East North Central,0,0,0,0,1,0,0,0,0,0,0,1
3291650311.0,1,1,1,1,1,1,1,1,6,5,3,2,1,4,5,5,5,5,5,5,5,4,4,5,5,2,4,5,Han,0,,1,Male,4,East North Central,0,0,1,0,0,0,0,0,0,1,0,0
3291641416.0,1,0,1,1,1,0,1,1,1,4,3,6,5,2,5,4,4,1,4,1,1,1,3,1,4,3,,5,Greedo,1,0,1,Male,3,East North Central,0,0,0,0,1,0,0,0,0,0,0,1
3291634205.0,1,0,1,1,0,1,1,1,5,4,6,2,3,1,5,1,1,1,1,6,4,1,1,3,1,2,1,4,Han,0,,0,Male,2,Pacific,0,0,1,0,0,0,0,0,0,0,1,0
3291618031.0,1,0,0,0,0,1,1,1,6,5,4,1,3,2,5,4,4,2,5,6,1,6,1,5,4,2,6,5,Han,0,,0,Male,0,Middle Atlantic,0,1,0,0,0,0,0,0,0,0,1,0
3291602842.0,1,1,1,1,1,1,1,1,1,2,3,4,5,6,1,4,4,5,5,1,5,3,1,5,5,1,1,1,Greedo,1,0,0,Male,5,Pacific,0,0,1,0,0,0,0,0,1,0,0,0
3291598188.0,1,1,0,0,1,1,1,1,6,5,4,3,2,1,5,5,5,5,5,2,2,1,1,5,5,6,6,5,I don't understand this question,0,,1,Male,5,South Atlantic,0,0,0,0,1,0,0,0,1,0,0,0
3291588139.0,1,1,1,1,1,1,1,1,1,4,5,2,3,6,5,5,1,4,5,1,5,5,1,5,5,1,6,5,Han,0,,1,Male,5,West South Central,0,0,0,0,1,0,0,0,0,0,1,0
3291570206.0,1,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0,0,0
3291548852.0,1,1,1,1,1,1,1,1,6,5,4,1,3,2,5,5,5,4,5,5,5,4,5,5,5,2,4,5,Greedo,0,,0,Male,5,East North Central,0,0,1,0,0,0,0,0,0,0,1,0
3291529925.0,1,1,1,1,1,1,1,1,3,5,6,2,1,4,5,5,4,4,5,3,5,3,1,5,5,3,4,5,I don't understand this question,0,,0,Male,3,Middle Atlantic,0,0,1,0,0,0,0,0,0,0,1,0
3291524547.0,1,0,1,1,1,0,0,0,1,2,3,4,5,6,5,5,5,6,6,6,5,6,6,5,5,6,6,5,Greedo,0,,0,Male,5,East North Central,0,0,0,0,1,0,0,0,0,0,1,0
3291502449.0,1,1,1,1,0,0,1,1,2,3,6,5,1,4,5,5,5,5,5,1,5,6,6,5,5,6,6,4,I don't understand this question,0,,1,Male,3,South Atlantic,0,0,0,0,1,0,0,0,0,1,0,0
3291497337.0,1,1,1,1,1,1,1,1,6,5,4,1,3,2,5,5,5,1,5,1,5,1,1,,4,2,4,5,Greedo,1,1,1,Male,6,South Atlantic,0,0,0,0,1,0,0,0,0,0,1,0
3291482197.0,1,1,1,1,1,1,1,1,5,3,4,6,2,1,4,4,4,4,4,4,4,4,1,1,1,3,4,5,Greedo,0,,1,Male,4,South Atlantic,0,0,1,0,0,0,0,0,0,0,0,1
3291469991.0,1,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0,0,0
3291468155.0,1,0,0,0,0,1,1,1,4,5,6,1,2,3,5,1,4,6,4,6,4,4,3,1,1,1,6,4,Greedo,0,,1,Male,3,Pacific,0,0,0,0,1,0,0,0,0,1,0,0
3291461574.0,1,1,0,0,0,1,1,1,6,5,4,1,3,2,4,4,4,1,4,6,4,3,1,5,5,2,6,5,Han,0,,1,Male,0,East North Central,0,0,1,0,0,0,0,0,0,0,1,0
3291455642.0,1,0,0,0,0,0,1,0,2,3,4,5,1,6,,5,5,,5,,2,,,5,5,5,,,I don't understand this question,0,,0,Male,4,South Atlantic,0,0,0,0,1,0,0,0,0,1,0,0
3291446474.0,1,0,0,0,0,0,1,1,3,4,5,6,2,1,4,5,5,6,4,6,5,6,4,5,5,6,6,5,I don't understand this question,0,,0,Male,5,East North Central,0,0,1,0,0,0,0,0,1,0,0,0
3291446275.0,1,1,1,1,1,1,1,1,3,5,6,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Han,0,,1,Male,5,Middle Atlantic,0,0,1,0,0,0,0,0,0,1,0,0
3291439708.0,1,1,1,1,0,0,1,1,1,4,5,6,2,3,5,4,4,,5,1,2,6,1,5,5,2,6,4,Greedo,1,0,1,Female,5,South Atlantic,0,0,0,0,1,0,0,0,0,0,1,0
3291439404.0,1,0,1,0,0,0,0,0,1,2,3,4,5,6,5,4,4,6,5,6,3,6,6,5,5,6,6,4,I don't understand this question,0,,0,Female,4,Pacific,0,0,0,0,1,0,0,0,0,0,0,1
3291437345.0,1,0,1,1,1,1,1,1,4,5,2,1,3,6,5,5,5,4,5,4,5,4,4,5,5,4,4,5,Han,0,,0,Male,5,West North Central,0,0,1,0,0,0,0,0,0,1,0,0
3291435787.0,1,0,1,0,0,0,1,1,3,4,5,6,1,2,5,5,5,4,4,1,5,1,1,5,5,1,1,4,I don't understand this question,0,,0,Female,5,South Atlantic,0,0,1,0,0,0,0,0,0,0,0,1
3291433636.0,1,0,1,1,1,0,1,1,3,4,5,6,2,1,5,5,5,4,4,6,5,6,1,5,5,5,6,3,I don't understand this question,0,,0,Female,4,West South Central,0,0,1,0,0,0,0,0,0,0,1,0
3291431939.0,1,1,1,1,1,1,1,1,3,6,4,1,2,5,5,5,5,4,4,5,5,4,4,5,5,4,5,5,Han,0,,1,Female,4,South Atlantic,0,0,1,0,0,0,0,0,0,0,0,1
3291428174.0,1,0,0,0,1,0,1,1,4,5,3,6,1,2,5,5,5,5,5,1,4,1,1,,4,1,1,4,I don't understand this question,0,,0,Female,5,East North Central,0,0,1,0,0,0,0,0,0,1,0,0
3291425110.0,1,1,1,1,1,1,1,1,6,4,5,1,2,3,5,5,5,3,5,2,5,4,4,4,5,2,1,5,Han,1,0,1,Female,5,South Atlantic,0,0,1,0,0,0,0,0,0,0,0,1
3291424127.0,1,1,1,1,1,1,1,1,4,5,6,3,2,1,5,4,5,1,5,3,5,4,5,5,5,3,6,5,I don't understand this question,0,,0,Female,4,South Atlantic,0,0,0,0,1,0,0,0,0,0,1,0
3291422637.0,1,0,0,0,0,1,1,1,4,5,6,2,3,1,5,4,4,,5,,2,,,4,4,,,5,I don't understand this question,0,,0,Female,4,East North Central,0,0,0,0,1,0,0,0,0,0,0,1
3291420030.0,1,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0,0,0
3291405943.0,1,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0,0,0
3291401326.0,1,1,1,1,1,1,1,1,2,3,4,1,5,6,4,4,4,1,5,2,2,3,3,4,4,2,2,5,I don't understand this question,0,,1,Male,4,Middle Atlantic,0,0,0,0,1,0,0,0,1,0,0,0
3291395512.0,1,1,1,1,1,1,1,1,6,5,4,2,3,1,5,5,5,3,5,2,3,3,4,4,4,2,5,5,I don't understand this question,1,0,0,Female,5,South Atlantic,0,0,1,0,0,0,0,0,0,0,1,0
3291394022.0,1,0,1,0,0,0,1,1,3,4,5,6,1,2,5,5,4,4,5,3,3,4,6,1,5,2,6,5,Han,0,,1,Male,5,South Atlantic,0,0,0,1,0,0,0,0,0,1,0,0
3291391446.0,1,1,0,0,0,0,1,1,4,5,6,3,2,1,5,5,5,5,5,1,4,5,4,5,5,4,4,5,Han,0,,1,Female,4,East North Central,0,0,0,0,1,0,0,0,0,1,0,0
3291388180.0,1,0,1,0,1,0,1,1,3,6,4,5,1,2,5,5,5,5,5,4,3,1,1,5,5,4,1,5,I don't understand this question,0,,0,Female,5,Middle Atlantic,0,0,0,0,1,0,0,0,0,1,0,0
3291380973.0,1,0,0,0,0,0,1,1,5,6,3,4,1,2,5,5,4,6,5,2,2,4,6,5,5,6,6,4,I don't understand this question,0,,1,Female,4,Middle Atlantic,0,0,0,0,1,0,0,0,0,0,1,0
3291378572.0,1,0,1,1,0,0,0,0,1,2,3,4,5,6,6,5,5,5,5,6,2,6,6,6,5,6,6,4,I don't understand this question,0,,0,Female,5,Middle Atlantic,0,0,0,0,1,0,0,0,0,0,1,0
3291375306.0,1,0,0,0,0,0,1,1,2,3,4,5,6,1,1,2,2,2,2,1,2,1,1,1,2,2,1,2,I don't understand this question,0,,0,Female,4,South Atlantic,0,0,1,0,0,0,0,0,0,1,0,0
3291364062.0,1,1,1,1,1,1,1,1,4,3,6,2,5,1,5,5,5,4,5,4,5,4,4,5,5,4,1,5,I don't understand this question,0,,1,Male,0,South Atlantic,0,0,0,1,0,0,0,0,0,1,0,0
3291345427.0,1,1,1,1,1,1,1,1,4,5,6,1,2,3,5,5,5,4,5,3,3,5,1,4,4,4,4,5,Greedo,0,,0,Female,3,East North Central,0,0,0,0,1,0,0,0,0,0,0,1
3291341186.0,1,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0,0,0
3291330710.0,1,0,1,1,1,1,1,1,6,5,4,2,3,1,5,5,4,1,1,1,5,1,1,4,5,4,1,5,Greedo,0,,0,Male,2,East North Central,0,0,1,0,0,0,0,0,0,1,0,0
3291327304.0,1,0,0,0,0,0,1,1,1,2,4,5,6,3,4,4,4,4,1,1,3,1,1,4,4,1,1,4,I don't understand this question,0,,0,Female,3,South Atlantic,0,0,1,0,0,0,0,0,0,1,0,0
